"","X","match_id","match_round","league_name","match_time_utc","home_team","away_team","pos_team","def_team","event_type","player_name","shot_type","situation","min","expected_goals","expected_goals_on_target","min_added","x","y","is_blocked","is_on_target","blocked_x","blocked_y","goal_crossed_y","goal_crossed_z","season_year","period","is_own_goal","on_goal_shot_x","on_goal_shot_y","on_goal_shot_zoom_ratio","is_saved_off_line"
"1",1,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Miss","Xavi Simons","RightFoot","RegularPlay",20,0.174355149269104,NA,NA,96.3157894727,25.186875,FALSE,FALSE,103.2931034484,46.6631847099,60.3912796164,0.2696842092,"2023/2024","FirstHalf",FALSE,0,0.0102186863660985,0.143229129278409,FALSE
"2",2,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Leonardo Bittencourt","RightFoot","RegularPlay",21,0.0287972390651703,NA,NA,80.5703883504,36.51625,FALSE,FALSE,NA,NA,42.6975,0.5329473658,"2023/2024","FirstHalf",FALSE,0,0.0612759259327393,0.434607645875252,FALSE
"3",3,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Xavi Simons","RightFoot","RegularPlay",23,0.102532364428043,0.0497,NA,85.7088235288,35.6775,FALSE,TRUE,103.577586207,33.8475,34.7625,0.0834736838,"2023/2024","FirstHalf",FALSE,0.798280423280423,0.0220829851322751,1,FALSE
"4",4,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Yussuf Poulsen","RightFoot","RegularPlay",31,0.237445086240768,0.8422,NA,101.9655172416,30.645,FALSE,TRUE,102.9137931036,31.4075,34.4575,0.0834736838,"2023/2024","FirstHalf",FALSE,0.878968253968253,0.0220829851322751,1,FALSE
"5",5,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Miss","Amadou Haidara","RightFoot","RegularPlay",31,0.0247747674584389,NA,NA,93.6,18.3240764352,FALSE,FALSE,NA,NA,27.362380952,4.0980689704,"2023/2024","FirstHalf",FALSE,2,0.61740044747443,0.569481311395682,FALSE
"6",6,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Justin Njinmah","Header","RegularPlay",32,0.331360995769501,NA,NA,98.4385964909,37.5075,FALSE,FALSE,103.1982758622,14.9610191088,0.8527014223,0.2696842092,"2023/2024","FirstHalf",FALSE,2,0.00813593326671367,0.114036442250018,FALSE
"7",7,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","AttemptSaved","Rafael Santos Borre","Header","RegularPlay",32,0.136446118354797,NA,NA,100.4482758624,38.284285716,FALSE,TRUE,104.7155172414,32.9325,32.475,1.219999994,"2023/2024","FirstHalf",FALSE,1.40343915343915,0.322751321164021,1,TRUE
"8",8,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Rafael Santos Borre","RightFoot","RegularPlay",32,0.117002584040165,NA,NA,88.7,32.70375,FALSE,FALSE,NA,NA,41.888125,0.7127368386,"2023/2024","FirstHalf",FALSE,0,0.0903556724316615,0.479201331114809,FALSE
"9",9,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Jens Stage","RightFoot","RegularPlay",35,0.289746761322021,NA,NA,101.5862068968,39.376904763,FALSE,FALSE,NA,NA,33.39,4.8280000072,"2023/2024","FirstHalf",FALSE,1.08556787334416,0.677248677248677,0.530240264329385,FALSE
"10",10,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Miss","Ikoma Lois Openda","RightFoot","RegularPlay",38,0.0468999743461609,NA,NA,81.6966019424,35.29625,FALSE,FALSE,NA,NA,35.0675,3.255172416,"2023/2024","FirstHalf",FALSE,0.777903327206443,0.677248677248677,0.786440677432922,FALSE
"11",11,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Amadou Haidara","RightFoot","RegularPlay",41,0.0598145313560963,NA,NA,85.0647058816,34.68625,TRUE,TRUE,87.7485294116,34.1525,30.72125,1.2456842044,"2023/2024","FirstHalf",FALSE,1.86739417989418,0.329546085820106,1,FALSE
"12",12,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Ikoma Lois Openda","LeftFoot","RegularPlay",47,0.27623388171196,0.2713,NA,96.7982456132,41.3678125,FALSE,TRUE,102.8189655174,36.5925,34.53375,0.2054736832,"2023/2024","SecondHalf",FALSE,0.858796296296295,0.0543581172486773,1,FALSE
"13",13,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Ikoma Lois Openda","RightFoot","RegularPlay",47,0.109396770596504,0.5922,NA,97.7631578942,40.385476191,FALSE,TRUE,99.3070175438,39.292857144,35.75375,0.1219999994,"2023/2024","SecondHalf",FALSE,0.536044973544974,0.0322751321164021,1,FALSE
"14",14,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Goal","Ikoma Lois Openda","RightFoot","RegularPlay",47,0.402706444263458,0.7955,NA,103.2931034484,40.385476191,FALSE,TRUE,NA,NA,32.78,0.160526315,"2023/2024","SecondHalf",FALSE,1.32275132275132,0.0424672791005291,1,FALSE
"15",15,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","David Raum","LeftFoot","RegularPlay",50,0.0253555476665497,NA,NA,96.7017543851,17.2030573264,TRUE,TRUE,98.6315789471,20.7062420414,32.0175,1.219999994,"2023/2024","SecondHalf",FALSE,1.5244708994709,0.322751321164021,1,FALSE
"16",16,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Marvin Ducksch","RightFoot","RegularPlay",55,0.236755207180977,NA,NA,97.2807017537,24.955625,FALSE,FALSE,NA,NA,27.698571428,1.2456842044,"2023/2024","SecondHalf",FALSE,2,0.197682825436619,0.599863976368184,FALSE
"17",17,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Post","Marvin Ducksch","RightFoot","RegularPlay",56,0.196216747164726,NA,NA,93.8,41.3678125,FALSE,FALSE,NA,NA,31.63625,2.497,"2023/2024","SecondHalf",FALSE,1.62533068783069,0.66058201058201,1,FALSE
"18",18,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Xavi Simons","RightFoot","RegularPlay",57,0.0366232134401798,NA,NA,82.3723300976,29.547619046,TRUE,TRUE,87.2117647056,30.22,32.24625,1.219999994,"2023/2024","SecondHalf",FALSE,1.46395502645503,0.322751321164021,1,FALSE
"19",19,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Ikoma Lois Openda","RightFoot","RegularPlay",59,0.109866626560688,0.0397,NA,96.9912280694,46.0326114612,FALSE,TRUE,104.051724138,37.43125,34.83875,1.1814736784,"2023/2024","SecondHalf",FALSE,0.778108465608464,0.312559174179894,1,FALSE
"20",20,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Mitchell Weiser","Header","RegularPlay",71,0.0566760264337063,NA,NA,95.9298245603,28.959285713,FALSE,FALSE,97.3771929818,35.6775,50.3064968135,1.1622105206,"2023/2024","SecondHalf",FALSE,0,0.0712728511765824,0.231809446457597,FALSE
"21",21,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Marvin Ducksch","RightFoot","FreeKick",72,0.0433090403676033,NA,NA,76.8538834968,39.208809525,FALSE,FALSE,NA,NA,36.135,3.255172416,"2023/2024","SecondHalf",FALSE,0.555806654412886,0.677248677248677,0.786440677432922,FALSE
"22",22,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Goal","Justin Njinmah","LeftFoot","RegularPlay",75,0.0436951443552971,0.2973,NA,84.1742718448,26.774047619,FALSE,TRUE,NA,NA,37.05,0.7319999964,"2023/2024","SecondHalf",FALSE,0.193121693121694,0.193650792698413,1,FALSE
"23",23,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","Werder Bremen","RB Leipzig","Miss","Justin Njinmah","RightFoot","RegularPlay",78,0.0297850333154202,NA,NA,99.5948275866,21.4068789844,FALSE,FALSE,101.206896552,31.56,66.032227487,0.3595789456,"2023/2024","SecondHalf",FALSE,0,0.011225536711299,0.118006154942989,FALSE
"24",24,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Christoph Baumgartner","RightFoot","RegularPlay",78,0.0229354724287987,NA,NA,94.9649122793,47.7141401244,TRUE,TRUE,95.5438596479,46.9434394871,33.16125,1.219999994,"2023/2024","SecondHalf",FALSE,1.22189153439154,0.322751321164021,1,FALSE
"25",25,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Ikoma Lois Openda","RightFoot","RegularPlay",79,0.0492097176611423,NA,NA,84.286893204,27.782619047,TRUE,TRUE,91.1,29.295476189,33.39,1.219999994,"2023/2024","SecondHalf",FALSE,1.16137566137566,0.322751321164021,1,FALSE
"26",26,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","Miss","Ikoma Lois Openda","RightFoot","RegularPlay",79,0.051542941480875,NA,NA,91.9,21.4068789844,FALSE,FALSE,NA,NA,51.4975796166,0.3595789456,"2023/2024","SecondHalf",FALSE,0,0.0205502105707733,0.216029878578972,FALSE
"27",27,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Ikoma Lois Openda","RightFoot","RegularPlay",85,0.0780648961663246,0.0164,NA,92.2,43.5103184664,FALSE,TRUE,102.0603448278,36.36375,34.22875,0.8154736802,"2023/2024","SecondHalf",FALSE,0.939484126984128,0.215733777830688,1,FALSE
"28",28,4221881,"16","1. Bundesliga","19.12.2023 17:30:00","Werder Bremen","RB Leipzig","RB Leipzig","Werder Bremen","AttemptSaved","Amadou Haidara","RightFoot","RegularPlay",90,0.0397016033530235,0.0857,2,86.5676470584,37.58375,FALSE,TRUE,103.2931034484,34.53375,35.525,0.3274736826,"2023/2024","SecondHalf",FALSE,0.596560846560845,0.0866332493650794,1,FALSE
"29",29,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Ramy Bensebaini","LeftFoot","FromCorner",5,0.0556922070682049,NA,NA,101.206896552,42.0615625,TRUE,TRUE,102.0603448278,40.973809524,36.97375,1.219999994,"2023/2024","FirstHalf",FALSE,0.21329365079365,0.322751321164021,1,FALSE
"30",30,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Thomas Meunier","RightFoot","FromCorner",5,0.0823965445160866,NA,NA,93.3,37.5075,TRUE,TRUE,97.3771929818,36.745,35.29625,1.219999994,"2023/2024","FirstHalf",FALSE,0.657076719576718,0.322751321164021,1,FALSE
"31",31,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Miss","Donyell Malen","RightFoot","RegularPlay",7,0.0199836529791355,NA,NA,95.640350876,19.445095544,FALSE,FALSE,NA,NA,28.791190475,1.6951578864,"2023/2024","FirstHalf",FALSE,2,0.325440559548969,0.725693650700349,FALSE
"32",32,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Post","Jamie Bynoe-Gittens","LeftFoot","RegularPlay",8,0.0386582985520363,NA,NA,92.7,44.0708280208,FALSE,FALSE,NA,NA,36.66875,2.497,"2023/2024","FirstHalf",FALSE,0.293981481481481,0.66058201058201,1,FALSE
"33",33,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Marcel Sabitzer","RightFoot","RegularPlay",8,0.020360054448247,0.1529,NA,79.8946601952,23.8591082849,FALSE,TRUE,103.4827586208,33.46625,31.7125,0.2054736832,"2023/2024","FirstHalf",FALSE,1.60515873015873,0.0543581172486773,1,FALSE
"34",34,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Donyell Malen","RightFoot","RegularPlay",11,0.106152482330799,0.204,NA,96.3157894727,22.5278980932,FALSE,TRUE,103.2931034484,30.304,31.33125,0.0385263156,"2023/2024","FirstHalf",FALSE,1.70601851851852,0.010192146984127,1,FALSE
"35",35,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Miss","Jamie Bynoe-Gittens","RightFoot","RegularPlay",17,0.0466116294264793,NA,NA,80.345145632,37.708,FALSE,FALSE,NA,NA,28.202857142,0.5329473658,"2023/2024","FirstHalf",FALSE,2,0.0919327639243076,0.652045342436859,FALSE
"36",36,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Jamie Bynoe-Gittens","RightFoot","RegularPlay",18,0.0544393360614777,NA,NA,86.2455882348,36.135,TRUE,TRUE,91.5,35.3725,33.31375,1.219999994,"2023/2024","FirstHalf",FALSE,1.18154761904762,0.322751321164021,1,FALSE
"37",37,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","AttemptSaved","Brajan Gruda","Header","RegularPlay",20,0.165366619825363,0.0313,NA,98.4385964909,29.883809522,FALSE,TRUE,103.6724137932,32.6275,34.22875,0.2439999988,"2023/2024","FirstHalf",FALSE,0.939484126984128,0.0645502642328042,1,FALSE
"38",38,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Miss","Julian Brandt","RightFoot","RegularPlay",24,0.0136639596894383,NA,NA,84.6247572816,20.4259872642,FALSE,FALSE,NA,NA,28.37095238,2.0483157794,"2023/2024","FirstHalf",FALSE,2,0.363883185518335,0.671516792035951,FALSE
"39",39,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Goal","Julian Brandt","RightFoot","FreeKick",29,0.0544544346630573,0.3156,NA,84.9573529404,47.854267513,FALSE,TRUE,NA,NA,36.82125,1.5025263084,"2023/2024","FirstHalf",FALSE,0.253637566137564,0.397493732380952,1,FALSE
"40",40,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Post","Marcel Sabitzer","RightFoot","RegularPlay",31,0.031277272850275,NA,NA,83.3859223304,42.7553125,FALSE,FALSE,NA,NA,32.39875,2.476,"2023/2024","FirstHalf",FALSE,1.42361111111111,0.655026455026455,1,FALSE
"41",41,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Niclas FÃ¼llkrug","RightFoot","RegularPlay",33,0.0730363056063652,0.0214,NA,85.81617647,43.16,FALSE,TRUE,103.2931034484,34.99125,33.61875,0.9759999952,"2023/2024","FirstHalf",FALSE,1.10085978835979,0.258201056931217,1,FALSE
"42",42,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","AttemptSaved","Marco Richter","LeftFoot","RegularPlay",42,0.0283552501350641,0.2521,NA,80.345145632,34.1525,FALSE,TRUE,103.4827586208,33.8475,31.255,1.1814736784,"2023/2024","FirstHalf",FALSE,1.72619047619048,0.312559174179894,1,FALSE
"43",43,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","Goal","Sepp van den Berg","Header","FromCorner",43,0.127447217702866,0.3278,NA,100.4482758624,30.256,FALSE,TRUE,NA,NA,31.02625,1.0145263108,"2023/2024","FirstHalf",FALSE,1.78670634920635,0.268393203915344,1,FALSE
"44",44,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Marcel Sabitzer","LeftFoot","RegularPlay",44,0.0594045706093311,0.0719,NA,84.9573529404,32.0175,FALSE,TRUE,103.6724137932,33.61875,35.29625,1.059473679,"2023/2024","FirstHalf",FALSE,0.657076719576718,0.280284042063492,1,FALSE
"45",45,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Miss","Mats Hummels","Header","FromCorner",45,0.104793414473534,NA,0,98.3421052628,31.7125,FALSE,FALSE,NA,NA,26.942142857,4.8280000072,"2023/2024","FirstHalf",FALSE,1.99004233785803,0.677248677248677,0.530240264329385,FALSE
"46",46,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","AttemptSaved","Philipp Mwene","RightFoot","RegularPlay",48,0.0615813620388508,0.0347,NA,98.2456140347,48.1345222902,FALSE,TRUE,103.9568965518,36.51625,34.4575,1.4639999928,"2023/2024","SecondHalf",FALSE,0.878968253968253,0.387301585396825,1,FALSE
"47",47,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","Miss","Marco Richter","LeftFoot","RegularPlay",48,0.0104544796049595,NA,NA,77.8674757296,46.5931210156,FALSE,FALSE,NA,NA,40.301428572,3.1335172432,"2023/2024","SecondHalf",FALSE,-2.22044604925031e-16,0.497270929503762,0.599863976368184,FALSE
"48",48,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","AttemptSaved","Philipp Mwene","RightFoot","RegularPlay",49,0.0572408922016621,0.1311,NA,86.2455882348,46.0326114612,FALSE,TRUE,103.2931034484,35.3725,36.5925,0.9759999952,"2023/2024","SecondHalf",FALSE,0.314153439153439,0.258201056931217,1,FALSE
"49",49,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","Miss","Karim Onisiwo","RightFoot","RegularPlay",50,0.039861161261797,NA,NA,80.7956310688,23.2985987305,FALSE,FALSE,NA,NA,28.707142856,4.4630344888,"2023/2024","SecondHalf",FALSE,1.80317114031624,0.677248677248677,0.573600765672846,FALSE
"50",50,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Donyell Malen","RightFoot","FastBreak",56,0.194990769028664,0.0946,NA,92.7,27.698571428,FALSE,TRUE,103.2931034484,32.3225,32.9325,0.1219999994,"2023/2024","SecondHalf",FALSE,1.28240740740741,0.0322751321164021,1,FALSE
"51",51,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Jamie Bynoe-Gittens","RightFoot","FastBreak",60,0.0743634551763535,NA,NA,87.8558823528,25.8228125,TRUE,TRUE,90.6,26.774047619,32.9325,1.219999994,"2023/2024","SecondHalf",FALSE,1.28240740740741,0.322751321164021,1,FALSE
"52",52,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","AttemptSaved","Marco Richter","RightFoot","FreeKick",68,0.0651424676179886,0.2965,NA,84.1742718448,44.2810191037,FALSE,TRUE,103.2931034484,34.53375,31.56,1.0145263108,"2023/2024","SecondHalf",FALSE,1.64550264550265,0.268393203915344,1,FALSE
"53",53,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Miss","Nico Schlotterbeck","Header","FromCorner",71,0.0538932457566261,NA,NA,97.7631578942,37.78,FALSE,FALSE,101.206896552,33.695,25.8228125,0.9824210478,"2023/2024","SecondHalf",FALSE,2,0.120141680473879,0.462261627240417,FALSE
"54",54,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","Miss","Thomas Meunier","RightFoot","RegularPlay",77,0.0183353237807751,NA,NA,74.150970876,28.454999999,FALSE,FALSE,NA,NA,27.362380952,7.1133793248,"2023/2024","SecondHalf",FALSE,1.63195262266785,0.677248677248677,0.359885208296828,FALSE
"55",55,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Emre Can","RightFoot","FromCorner",79,0.0148472432047129,NA,NA,76.0655339824,34.22875,TRUE,TRUE,79.3315533992,34,32.0175,1.219999994,"2023/2024","SecondHalf",FALSE,1.5244708994709,0.322751321164021,1,FALSE
"56",56,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","Miss","Jae-Sung Lee","LeftFoot","RegularPlay",82,0.0929480120539665,NA,NA,85.6014705876,26.69,FALSE,FALSE,NA,NA,40.889761905,3.0118620704,"2023/2024","SecondHalf",FALSE,-2.22044604925031e-16,0.437150385155436,0.548640149270877,FALSE
"57",57,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","Miss","Merveille Papela","RightFoot","RegularPlay",84,0.0273233074694872,NA,NA,78.092718448,41.888125,FALSE,FALSE,NA,NA,35.0675,4.4630344888,"2023/2024","SecondHalf",FALSE,0.838010894879427,0.677248677248677,0.573600765672846,FALSE
"58",58,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Mainz 05","Borussia Dortmund","Miss","Jonathan Burkardt","RightFoot","FastBreak",88,0.275619596242905,NA,NA,93.4,36.135,FALSE,FALSE,102.0603448278,39.124761906,40.889761905,0.5329473658,"2023/2024","SecondHalf",FALSE,-2.22044604925031e-16,0.0773535244248763,0.548640149270877,FALSE
"59",59,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Marcel Sabitzer","RightFoot","RegularPlay",90,0.0204847808927298,NA,3,80.7956310688,35.44875,TRUE,TRUE,82.7101941752,35.0675,30.645,1.219999994,"2023/2024","SecondHalf",FALSE,1.88756613756614,0.322751321164021,1,FALSE
"60",60,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Niklas SÃ¼le","Header","FromCorner",90,0.0401948764920235,NA,3,97.3771929818,29.295476189,TRUE,TRUE,99.0175438595,30.56875,37.355,1.219999994,"2023/2024","SecondHalf",FALSE,0.112433862433861,0.322751321164021,1,FALSE
"61",61,4221875,"16","1. Bundesliga","19.12.2023 19:30:00","Borussia Dortmund","Mainz 05","Borussia Dortmund","Mainz 05","AttemptSaved","Donyell Malen","RightFoot","RegularPlay",90,0.0287546142935753,0.1533,5,92.2,44.7014012695,FALSE,TRUE,103.103448276,36.745,36.21125,0.160526315,"2023/2024","SecondHalf",FALSE,0.415013227513228,0.0424672791005291,1,FALSE
"62",62,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","TSG Hoffenheim","SV Darmstadt","Miss","Andrej Kramaric","Header","RegularPlay",8,0.0915354266762733,NA,NA,97.1842105256,31.7125,FALSE,FALSE,NA,NA,29.547619046,1.8749473592,"2023/2024","FirstHalf",FALSE,2,0.421111171431896,0.84898395691053,FALSE
"63",63,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","SV Darmstadt","TSG Hoffenheim","AttemptSaved","Tobias Kempe","Header","RegularPlay",10,0.0200908221304417,NA,NA,92.9,39.040714287,TRUE,TRUE,94.3859649107,38.200238097,33.2375,1.219999994,"2023/2024","FirstHalf",FALSE,1.20171957671958,0.322751321164021,1,FALSE
"64",64,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","TSG Hoffenheim","SV Darmstadt","Goal","Andrej Kramaric","RightFoot","Penalty",14,0.7884,0.9723,NA,94,34,FALSE,TRUE,NA,NA,32.39875,0.2439999988,"2023/2024","FirstHalf",FALSE,1.42361111111111,0.0645502642328042,1,FALSE
"65",65,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","SV Darmstadt","TSG Hoffenheim","Miss","Tim Skarke","RightFoot","RegularPlay",20,0.0196014996618032,NA,NA,82.7101941752,48.3447133731,FALSE,FALSE,NA,NA,25.1290625,4.2197241432,"2023/2024","FirstHalf",FALSE,2,0.475679615959418,0.426110543558671,FALSE
"66",66,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","SV Darmstadt","TSG Hoffenheim","Goal","Luca Pfeiffer","RightFoot","RegularPlay",23,0.212434709072113,0.7593,NA,94.675438595,37.744,FALSE,TRUE,NA,NA,31.255,0.9374736796,"2023/2024","FirstHalf",FALSE,1.72619047619048,0.24800890994709,1,FALSE
"67",67,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","TSG Hoffenheim","SV Darmstadt","Miss","Grischa PrÃ¶mel","RightFoot","RegularPlay",24,0.536942899227142,NA,NA,96.3157894727,30.4925,FALSE,FALSE,NA,NA,38.620476192,0.5329473658,"2023/2024","FirstHalf",FALSE,0,0.115344683892703,0.818097495350107,FALSE
"68",68,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","SV Darmstadt","TSG Hoffenheim","AttemptSaved","Bartol Franjic","LeftFoot","RegularPlay",25,0.0245135426521301,NA,NA,80.7956310688,25.418125,TRUE,TRUE,92.2,30.268,36.2875,1.219999994,"2023/2024","FirstHalf",FALSE,0.39484126984127,0.322751321164021,1,FALSE
"69",69,4221880,"16","1. Bundesliga","19.12.2023 19:30:00","TSG Hoffenheim","SV Darmstadt","SV Darmstadt","TSG Hoffenheim","AttemptSaved","Tim Skarke","RightFoot","RegularPlay",27,0.0226200111210346,NA,NA,84.9573529404,49.8861146477,TRUE,TRUE,97.2807017537,40.637619048,34.07625,1.219999994,"2023/2024","FirstHalf",FALSE,0.979828042328042,0.322751321164021,1,FALSE
